"","Lon","Lat","species","value"
"2378",10.5075018,59.2390056,"Pholis_gunnellus",70
"2379",10.4341126,59.0639565,"Pholis_gunnellus",99
"2381",10.512778,59.733889,"Pholis_gunnellus",609
"2384",10.66986667,59.86443333,"Pholis_gunnellus",99
"2393",10.389444,59.171222,"Pholis_gunnellus",35
"2406",10.5853533,59.8757844,"Pholis_gunnellus",128
"2411",10.754722,59.868889,"Pholis_gunnellus",97
"2413",10.774639,59.842972,"Pholis_gunnellus",210
"2422",10.609304,59.82083,"Pholis_gunnellus",133
"2427",10.68446,59.489083,"Pholis_gunnellus",29
"2430",10.660741,59.445949,"Pholis_gunnellus",168
"2432",10.641683,59.426114,"Pholis_gunnellus",129
"2435",10.58785,59.42649,"Pholis_gunnellus",2857
"2436",10.587394,59.432736,"Pholis_gunnellus",476
"2437",10.624563,59.478932,"Pholis_gunnellus",403
"2438",10.620177,59.46032,"Pholis_gunnellus",77
"2440",10.604175,59.441273,"Pholis_gunnellus",344
"2441",10.504374,59.283593,"Pholis_gunnellus",369
"2445",10.5988247,59.1758044,"Pholis_gunnellus",240
"2446",10.47285,59.348569,"Pholis_gunnellus",61
"2458",10.4341126,59.0639565,"Phrynorhombus_norvegicus",22
"2504",10.4289222,59.0797784,"Phrynorhombus_norvegicus",105
"2529",10.61246,59.873486,"Platichthys_flesus",563
"2530",10.61246,59.873486,"Platichthys_flesus",330
"2539",10.512778,59.733889,"Platichthys_flesus",138
"2541",10.741256,59.2329992,"Platichthys_flesus",71
"2542",10.66986667,59.86443333,"Platichthys_flesus",90
"2547",10.585,59.663056,"Platichthys_flesus",799
"2549",10.393139,59.16525,"Platichthys_flesus",26
"2554",10.738159,59.893152,"Platichthys_flesus",738
"2556",10.519167,59.695556,"Platichthys_flesus",197
"2558",10.633306,59.64925,"Platichthys_flesus",717
"2561",10.5143874,59.8324791,"Platichthys_flesus",174
"2571",10.774639,59.842972,"Platichthys_flesus",386
"2575",10.563127,59.877348,"Platichthys_flesus",103
"2577",10.687774,59.85377,"Platichthys_flesus",34
"2583",10.4289222,59.0797784,"Platichthys_flesus",401
"2587",10.674155,59.463364,"Platichthys_flesus",275
"2589",10.606443,59.649072,"Platichthys_flesus",170
"2593",10.58785,59.42649,"Platichthys_flesus",70
"2595",10.624563,59.478932,"Platichthys_flesus",67
"2604",10.47285,59.348569,"Platichthys_flesus",210
"2605",10.495182,59.266081,"Platichthys_flesus",2082
